Produksi Perikanan Tangkap Menurut Provinsi dan Subsektor (ton), 2000-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Provinsi,Perikanan Laut,,,,,,,,,,,,,,,,,,,,,Perairan Umum Daratan,,,,,,,,,,,,,,,,,,,,,Jumlah,,,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018*,2019*,2020*,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018*,2019*,2020*,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018*,2019*,2020*
Kepulauan Riau,-,-,-,-,-,181.118,164.493,193.556,225.439,225.469,196.633,157.506,147.31,140.597,139.331,149.745,151.215,112.433,100.94,310.051,332.176,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,–,-,0,-,0,0,-,-,-,-,-,181.118,164.493,193.556,225.439,225.469,196.633,157.506,147.31,140.597,139.331,149.745,151.215,112.433,100.94,310.051,332.176
DKI Jakarta,105.179,107.136,106.668,120.827,123.869,132.024,137.57,146.24,144.718,145.97,172.422,180.198,219.836,209.733,226.06,289.214,143.64,135.619,103.681,100.086,107.841,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,–,-,0,-,0,0,106.092,108.737,108.269,123.294,123.869,132.024,137.57,146.24,144.718,145.97,172.422,180.198,219.836,209.733,226.06,289.214,143.64,135.619,103.681,100.086,107.841
Jawa Barat,169.585,141.261,150.01,149.158,160.24,155.341,149.49,167.288,176.449,172.747,180.405,185.825,198.978,207.462,206.156,271.332,218.194,231.153,248.778,230.274,234.256,9.504,5.781,7.59,5.785,8.432,6.677,12.856,7.187,8.153,7.645,10.385,11.168,12.733,11.147,12.848,21.317,15.915,43.313,15.068,16.227,16.287,404.849,366.238,368.422,342.652,168.672,162.018,162.346,174.475,184.602,172.747,190.79,196.993,211.711,218.609,219.004,292.649,234.109,274.466,263.847,246.5,250.543
Jawa Tengah,246.514,274.809,281.268,236.235,244.389,192.586,193.554,154.442,174.831,195.636,212.635,251.536,256.093,224.229,242.072,336.047,334.298,253.614,403.028,260.46,342.79,18.78,19.536,20.572,14.334,16.443,16.177,16.175,15.87,17.341,17.661,18.484,19.083,19.466,19.713,18.945,16.57,18.626,21.855,43.249,30.679,48.095,346.834,376.322,381.93,348.229,260.832,208.763,209.729,170.312,192.172,195.636,231.119,270.619,275.559,243.942,261.017,352.617,352.924,275.469,446.277,291.139,390.886
DI Yogyakarta,1.428,1.339,1.641,1.775,1.444,1.773,1.731,2.629,1.939,4.239,4.239,3.954,4.094,3.396,5.387,3.918,3.254,5.315,4.897,4.583,4.906,1.212,875,1.131,1.128,1.118,1.255,1.037,977,876,862,862,1.048,1.535,1.602,1.609,1.404,1.748,1.509,1.604,1.788,1.685,6.939,6.532,7.847,10.502,2.562,3.028,2.768,3.606,2.815,4.239,5.101,5.002,5.629,4.998,5.387,5.322,5.002,6.824,6.501,6.37,6.592
Jawa Timur,298.068,296.418,394.586,414.653,320.691,322.292,374.62,382.877,394.262,395.51,338.918,362.624,367.922,378.329,385.878,402.569,390.271,551.925,467.96,481.485,416.073,16.093,16.315,17.288,17.623,16.113,11.871,11.848,11.69,11.534,12.065,13.861,13.203,13.883,8.566,13.493,13.96,17.378,12.473,19.372,7.747,8.178,435.937,446.667,554.084,576.945,336.804,334.163,386.468,394.567,405.796,395.51,352.779,375.827,381.805,386.895,399.371,416.529,407.649,564.399,487.332,489.232,424.251
Banten,0,108.109,64.966,52.871,53.535,58.712,57.745,61.679,55.858,57.257,57.254,57.891,59.702,58.568,59.302,68.006,52.445,108.703,100.487,180.054,73.844,0,796,821,450,533,536,579,645,627,721,2.965,2.968,1.107,436,1.514,743,825,820,1.176,6.048,925,0,128.541,84.768,78.91,54.068,59.248,58.324,62.324,56.485,57.257,60.219,60.859,60.809,59.004,59.302,68.749,53.27,109.522,101.663,186.102,74.769
Bali,55.91,59.103,81.65,95.223,65.768,78.703,77.239,106.212,95.983,101.926,104.927,100.503,80.413,102.251,116.91,104.97,102.336,111.591,109.409,95.007,95.161,869,943,656,600,629,590,611,684,651,648,640,871,1.324,1.341,1.332,1.278,1.271,1.037,766,835,813,58.865,62.603,84.4,99.749,66.397,79.293,77.85,106.896,96.634,101.926,105.567,101.374,81.737,103.592,118.242,106.248,103.607,112.628,110.174,95.842,95.973
Nusa Tenggara Barat,85.709,86.597,79.727,81.092,79.45,81.61,95.148,99.554,98.98,99.221,111.886,140.17,132.781,142.19,227.084,208.334,170.166,179.14,204.283,220.742,223.363,2.435,3.112,1.772,2.834,2.512,2.851,1.936,2.577,2.766,2.912,3.278,3.246,3.388,3.576,3.56,3.416,3.179,3.855,3.687,4.021,3.618,98.524,100.393,94.604,99.038,81.962,84.461,97.084,102.131,101.746,99.221,115.164,143.416,136.169,145.766,227.084,211.75,173.345,182.995,207.971,224.763,226.981
Nusa Tenggara Timur,81.438,83.991,85.464,87.823,96.142,124.872,97.04,101.217,97.243,117.19,90.185,102.137,66.005,103.825,111.415,118.391,128.931,72.226,157.691,123.658,182.35,427,427,410,41,20,-,-,-,-,-,-,-,-,-,-,–,-,0,-,56,0,82.763,85.361,86.834,92.072,96.162,124.872,97.04,101.217,97.243,117.19,90.185,102.137,66.005,103.825,111.415,118.391,128.931,72.226,157.691,123.714,182.35
